model,augmentation,val_accuracy,val_f1,test_accuracy,test_f1
ResNet18_aug,True,0.977037037037037,0.9765114826321832,0.9804938271604938,0.9795931816176126
CNN_aug,True,0.9693827160493828,0.9682336113243016,0.9703703703703704,0.969481125169782
ResNet18_noaug,False,0.98,0.9793780519120329,0.980246913580247,0.9794220585375963
CNN_noaug,False,0.9701234567901235,0.9689248327172691,0.971358024691358,0.9703064056652508
