model,clean,blur_high,blur_low,downsample_2x,downsample_4x,noise_high,noise_low
CNN_aug,0.9703703703703704,0.1891358024691358,0.3671604938271605,0.4138271604938272,0.2116049382716049,0.1380246913580247,0.4024691358024691
CNN_noaug,0.971358024691358,0.1718518518518518,0.4118518518518518,0.4595061728395062,0.2145679012345679,0.1128395061728395,0.2328395061728395
RandomForest_hog_color_texture,0.8491358024691358,0.2679012345679012,0.5585185185185185,0.5896296296296296,0.4032098765432099,0.1123456790123456,0.2730864197530864
RandomForest_hog_color_texture_upscaled,0.8491358024691358,0.3355555555555555,0.705679012345679,0.745679012345679,0.52,0.1111111111111111,0.1935802469135802
ResNet18_aug,0.9804938271604938,0.2096296296296296,0.5177777777777778,0.5612345679012346,0.2454320987654321,0.1111111111111111,0.1676543209876543
ResNet18_noaug,0.9804938271604938,0.1111111111111111,0.4646913580246913,0.5348148148148149,0.1385185185185185,0.1111111111111111,0.1219753086419753
SVM_hog_color_texture,0.8760493827160494,0.1212345679012345,0.46,0.5246913580246914,0.194074074074074,0.1111111111111111,0.1296296296296296
XGBoost_hog_color_texture,0.908641975308642,0.219753086419753,0.5508641975308642,0.5792592592592593,0.3622222222222222,0.111358024691358,0.274320987654321
XGBoost_hog_color_texture_upscaled,0.9076543209876544,0.3523456790123457,0.779753086419753,0.8175308641975308,0.5422222222222223,0.1111111111111111,0.1637037037037037
