model,feature_mode,image_size,size_label,cv_score,val_accuracy,val_f1,test_accuracy,test_f1,train_time_s
RandomForest,hog,64x64,native,0.6176719576719577,0.6185185185185185,0.5760918526907421,0.6306172839506173,0.5927199031852078,103.28878402709961
RandomForest,hog_color,64x64,native,0.8140740740740742,0.8214814814814815,0.8106530166235197,0.8234567901234567,0.8126120137931216,100.00735306739807
RandomForest,hog_color_texture,64x64,native,0.8342328042328042,0.8471604938271605,0.8383966852638626,0.8488888888888889,0.838480119427809,94.7997670173645
RandomForest,hog_color_texture,128x128,upscaled,0.8288888888888888,0.8392592592592593,0.8288015925723423,0.8491358024691358,0.8392742106368146,229.58286786079407
