epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.2941792901861604,0.5258730158730158,0.9531701497678403,0.6624691358024691,0.001
2,0.842958334514073,0.7016402116402116,0.836895764551045,0.7264197530864197,0.001
3,0.6598694758440452,0.7754497354497355,0.6449499953823326,0.7728395061728395,0.001
4,0.5620380740254014,0.8111640211640212,0.6130156725718652,0.7837037037037037,0.001
5,0.5092675645767696,0.8321693121693121,0.7264638647032373,0.7718518518518519,0.001
6,0.46667069930878896,0.8432804232804233,0.6696025636755389,0.7804938271604939,0.001
7,0.4226398188727243,0.8571957671957672,0.46720191636203245,0.8441975308641976,0.001
8,0.39979991528722975,0.8663492063492063,0.32301498065760104,0.8851851851851852,0.001
9,0.35296968260770123,0.8835449735449735,0.32118608321672604,0.8920987654320988,0.001
10,0.3382113549065968,0.886984126984127,0.5296432947082284,0.8348148148148148,0.001
11,0.3196993794453838,0.891957671957672,0.25134484697271275,0.9120987654320988,0.001
12,0.3187606874833662,0.8967195767195767,0.32399849241162526,0.8864197530864197,0.001
13,0.29789102093725606,0.898994708994709,0.5577011544027446,0.8325925925925926,0.001
14,0.2877428225234703,0.9051322751322751,0.41385535575725413,0.8567901234567902,0.001
15,0.27430396942707597,0.9075661375661376,0.5534659534913522,0.8185185185185185,0.0005
16,0.21395190461602792,0.9312169312169312,0.13526492845864943,0.9540740740740741,0.0005
17,0.2114153625346996,0.9303703703703704,0.29339257190256945,0.9019753086419753,0.0005
18,0.20074723192623684,0.9324338624338624,0.17584744605017297,0.9395061728395062,0.0005
19,0.19140401423923553,0.9346560846560846,0.207552513781889,0.9237037037037037,0.0005
20,0.19933108963663615,0.9333862433862434,0.19373229261901642,0.9360493827160494,0.00025
21,0.15211623827301005,0.9503703703703704,0.11112770217436331,0.9604938271604938,0.00025
22,0.15217864694734098,0.950952380952381,0.14138594085787548,0.9476543209876543,0.00025
23,0.14685321921393985,0.9502116402116402,0.12762771521821434,0.9562962962962963,0.00025
24,0.1394021800050029,0.9535978835978836,0.13285825511555613,0.9508641975308642,0.00025
25,0.145511289226315,0.9528042328042328,0.1617146450943417,0.9424691358024692,0.000125
26,0.12306971842649753,0.9582010582010582,0.09394094383275067,0.9651851851851851,0.000125
27,0.11710900386647573,0.9604761904761905,0.0953122925280053,0.9703703703703703,0.000125
28,0.11411553642737171,0.9613227513227514,0.09162571304742201,0.9681481481481482,0.000125
29,0.11232879734386211,0.9616402116402116,0.0875729513021163,0.9693827160493828,0.000125
30,0.1104381798877918,0.9616931216931217,0.09666099964100637,0.9646913580246913,0.000125
