epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.36102020025253295,0.8865608465608465,0.23937376435892083,0.9167901234567901,0.001
2,0.18898913001257275,0.9387830687830688,0.2933815887975104,0.9022222222222223,0.001
3,0.16592983655828647,0.9465079365079365,0.15123968717492656,0.9464197530864198,0.001
4,0.14274756167931532,0.9536507936507936,0.22681383709480732,0.9281481481481482,0.001
5,0.12022132655930898,0.9602116402116402,0.3395924586867109,0.8879012345679013,0.001
6,0.12602104204672354,0.9593650793650793,0.2738038659095764,0.914320987654321,0.001
7,0.10271672759894972,0.9682539682539683,0.21050130628509287,0.928395061728395,0.0005
8,0.050755724842270845,0.9828571428571429,0.08018571146476416,0.9733333333333334,0.0005
9,0.033732150579019196,0.9895238095238095,0.10113476720857031,0.9676543209876544,0.0005
10,0.03738377074794794,0.9878306878306878,0.1769838895768295,0.9451851851851852,0.0005
11,0.048368310300662874,0.984920634920635,0.19006336627551068,0.9402469135802469,0.0005
12,0.044403191925317206,0.9856613756613757,0.14442609548568724,0.9560493827160493,0.00025
13,0.01668198726578522,0.9958730158730159,0.07769023831979728,0.9767901234567902,0.00025
14,0.008986046782857368,0.9977777777777778,0.06997635315413828,0.9804938271604938,0.00025
15,0.007639494521109752,0.9982010582010582,0.06552458668564573,0.98,0.00025
16,0.0065893072606355105,0.9985714285714286,0.11051088605398013,0.965925925925926,0.00025
17,0.01858671112390107,0.9943915343915344,0.13048268307874233,0.9607407407407408,0.00025
18,0.020930654438084395,0.9932804232804233,0.10588502159089218,0.9740740740740741,0.00025
19,0.014710634985849971,0.9955026455026456,0.10207536511767058,0.9730864197530864,0.000125
20,0.005810471963107822,0.9985185185185185,0.08470906921742875,0.9733333333333334,0.000125
21,0.0038045179596042666,0.9991534391534391,0.08223146536835918,0.9765432098765432,0.000125
22,0.002547519675273665,0.9996296296296296,0.07675031910891886,0.9782716049382716,0.000125
