epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.4464008130219878,0.8581481481481481,0.24466280766475348,0.9204938271604939,0.001
2,0.2537586351298781,0.9177248677248677,0.20743709652512163,0.9288888888888889,0.001
3,0.223493606243184,0.9264550264550264,0.18881806598769293,0.9377777777777778,0.001
4,0.19883972831188687,0.9334391534391534,0.17790057376579002,0.9414814814814815,0.001
5,0.19313338367396563,0.9347619047619048,0.1636374520961149,0.9474074074074074,0.001
6,0.19194887791991866,0.9373544973544974,0.19898357286865329,0.9358024691358025,0.001
7,0.17378123723640643,0.9428571428571428,0.17886880927615695,0.9417283950617283,0.001
8,0.1696398312231851,0.9432804232804233,0.15506478802657422,0.9493827160493827,0.001
9,0.160037752017773,0.9475661375661376,0.13448850536052093,0.9575308641975309,0.001
10,0.16687017314333133,0.9446560846560846,0.22061551918218164,0.9311111111111111,0.001
11,0.15449626409818257,0.9477777777777778,0.17954923417833116,0.9375308641975308,0.001
12,0.15308969263361874,0.9495767195767196,0.15530146260320404,0.9474074074074074,0.001
13,0.15082694168917085,0.9498412698412698,0.3710805676895895,0.8918518518518519,0.0005
14,0.0970872031246859,0.9678306878306878,0.08414996552614518,0.9730864197530864,0.0005
15,0.08942240550443924,0.9677248677248678,0.12055007620358173,0.9597530864197531,0.0005
16,0.08531633024966276,0.9701058201058201,0.09257349627713363,0.9683950617283951,0.0005
17,0.0860501152655435,0.9703174603174604,0.0941795219021079,0.9683950617283951,0.0005
18,0.09069330988106904,0.9706349206349206,0.08879935489760504,0.9683950617283951,0.00025
19,0.06475661567279271,0.9776719576719577,0.07352701963465891,0.9758024691358025,0.00025
20,0.05278308890168629,0.9829629629629629,0.07004041526788547,0.9790123456790123,0.00025
21,0.05339509846435653,0.9831746031746031,0.0702850291206513,0.9785185185185186,0.00025
22,0.05158297435158775,0.9824338624338624,0.07353893691374931,0.9755555555555555,0.00025
23,0.05026444354306453,0.9829629629629629,0.0820920341802232,0.971604938271605,0.00025
24,0.04814088409618726,0.9835978835978836,0.06633252486034676,0.9767901234567902,0.00025
25,0.051430172947821796,0.9831746031746031,0.12894975232857245,0.9587654320987654,0.00025
26,0.052472546177093314,0.9818518518518519,0.0646911754357962,0.977037037037037,0.00025
27,0.04923458878719617,0.9836507936507937,0.07127423032566353,0.9785185185185186,0.00025
28,0.044342520673754354,0.9847619047619047,0.07604774035789348,0.9765432098765432,0.00025
29,0.04538681912319686,0.984973544973545,0.08537227482339482,0.9720987654320987,0.00025
30,0.0438408077910306,0.9857671957671957,0.07931100675721227,0.9740740740740741,0.000125
