epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.1342798426794627,0.6122751322751323,0.8313209165467156,0.7064197530864198,0.001
2,0.749489664602532,0.7441269841269841,0.6116138799396562,0.7716049382716049,0.001
3,0.5999291570602902,0.8005820105820106,0.5212153194568775,0.8212345679012346,0.001
4,0.5074045634774303,0.8355026455026455,0.43771812656779346,0.8432098765432099,0.001
5,0.44193662639648196,0.8542857142857143,0.6308647837462249,0.8118518518518518,0.001
6,0.3968609951791309,0.8706349206349207,0.44721974627471267,0.8555555555555555,0.001
7,0.35923379006839934,0.8832275132275133,0.29629449167369326,0.9034567901234568,0.001
8,0.33674469479177366,0.8895767195767196,0.35361587199164024,0.8871604938271604,0.001
9,0.30796294540955277,0.9006878306878306,0.3121179658689617,0.8938271604938272,0.001
10,0.2789014992827461,0.9080423280423281,0.699964533911811,0.7795061728395062,0.001
11,0.26401577236791135,0.9153439153439153,0.5785686336328953,0.8434567901234568,0.0005
12,0.18882669746166184,0.9398412698412698,0.16056300579765698,0.945679012345679,0.0005
13,0.18478159162260238,0.9401587301587302,0.16422073520995953,0.9424691358024692,0.0005
14,0.1747499168297601,0.9433862433862434,0.18051106289581018,0.9422222222222222,0.0005
15,0.16831449451624717,0.9443915343915343,0.1751057243347168,0.9407407407407408,0.0005
16,0.16538328393584206,0.9472486772486772,0.14835131996207768,0.9474074074074074,0.0005
17,0.15926687688423843,0.9486772486772487,0.1265885763477396,0.9558024691358025,0.0005
18,0.15297613443520966,0.9501058201058201,0.169723045958413,0.9451851851851852,0.0005
19,0.13658157715248684,0.9536507936507936,0.23615872436099583,0.9266666666666666,0.0005
20,0.14213943798706014,0.9529100529100529,0.14337978287611478,0.9528395061728395,0.0005
21,0.1345204814243569,0.9564021164021164,0.13828247643179364,0.9496296296296296,0.00025
22,0.09748023710868976,0.9677248677248678,0.11592695104487148,0.9590123456790124,0.00025
23,0.09414860669897977,0.9697354497354498,0.11355132208746156,0.9614814814814815,0.00025
24,0.08764646626654125,0.9685714285714285,0.11287752819282038,0.9612345679012345,0.00025
25,0.08951283294372457,0.9698941798941799,0.13725655395583605,0.9540740740740741,0.00025
26,0.08412398669139418,0.9729629629629629,0.1268305989814761,0.9555555555555556,0.00025
27,0.08724478094981461,0.9710582010582011,0.12603344739219288,0.9629629629629629,0.00025
28,0.08252847344787033,0.9719576719576719,0.11961172669022171,0.9592592592592593,0.000125
29,0.05968526583736536,0.9812169312169312,0.08422941278160355,0.9701234567901235,0.000125
30,0.05274489519220811,0.982910052910053,0.09803125500954964,0.9686419753086419,0.000125
